date	n_trips
2018-08-16	277677
2018-08-17	272975
2018-08-18	233149
2018-08-19	204870
2018-08-20	224229
2018-08-21	239778
2018-08-22	259746
2018-08-23	262728
2018-08-24	251411
2018-08-25	230032
2018-08-26	211784
2018-08-27	226870
2018-08-28	260303
2018-08-29	269110
2018-08-30	261239
2018-08-31	241807
2018-02-01	321043
2018-02-02	349367
2018-02-03	316598
2018-02-04	265824
2018-02-05	286197
2018-02-06	303040
2018-02-07	315745
2018-02-08	338939
2018-02-09	337384
2018-02-10	322013
2018-02-11	261619
2018-02-12	287888
2018-02-13	317895
2018-02-14	321593
2018-02-15	322857
2018-02-16	322030
2018-02-17	305440
2018-02-18	253403
2018-02-19	241819
2018-02-20	268383
2018-02-21	297486
2018-02-22	328851
2018-02-23	328744
2018-02-24	312893
2018-02-25	269527
2018-02-26	278570
2018-02-27	301618
2018-02-28	314604
